SK이노베이션,,,,NNP,*,T,SK이노베이션,*,*,*,*,*
SK이노베이션우,,,,NNP,*,F,SK이노베이션우,*,*,*,*,*
SK증권,,,,NNP,*,T,SK증권,*,*,*,*,*
SK증권우,,,,NNP,*,F,SK증권우,*,*,*,*,*
SK케미칼,,,,NNP,*,T,SK케미칼,*,*,*,*,*
SK케미칼우,,,,NNP,*,F,SK케미칼우,*,*,*,*,*
SK텔레콤,,,,NNP,*,T,SK텔레콤,*,*,*,*,*
SK하이닉스,,,,NNP,*,F,SK하이닉스,*,*,*,*,*
SNT모티브,,,,NNP,*,F,SNT모티브,*,*,*,*,*
SNT에너지,,,,NNP,*,F,SNT에너지,*,*,*,*,*
SNT중공업,,,,NNP,*,T,SNT중공업,*,*,*,*,*
SNT홀딩스,,,,NNP,*,F,SNT홀딩스,*,*,*,*,*
SPC삼립,,,,NNP,*,T,SPC삼립,*,*,*,*,*
STX,,,,NNP,*,F,STX,*,*,*,*,*
STX엔진,,,,NNP,*,T,STX엔진,*,*,*,*,*
STX중공업,,,,NNP,*,T,STX중공업,*,*,*,*,*
SUN&L,,,,NNP,*,F,SUN&L,*,*,*,*,*
TBH글로벌,,,,NNP,*,T,TBH글로벌,*,*,*,*,*
TCC스틸,,,,NNP,*,T,TCC스틸,*,*,*,*,*
TYM,,,,NNP,*,F,TYM,*,*,*,*,*
WISCOM,,,,NNP,*,F,WISCOM,*,*,*,*,*
YG PLUS,,,,NNP,*,F,YG PLUS,*,*,*,*,*
가온전선,,,,NNP,*,T,가온전선,*,*,*,*,*
강남제비스코,,,,NNP,*,F,강남제비스코,*,*,*,*,*
강원랜드,,,,NNP,*,F,강원랜드,*,*,*,*,*
갤럭시아에스엠,,,,NNP,*,T,갤럭시아에스엠,*,*,*,*,*
경농,,,,NNP,*,T,경농,*,*,*,*,*
경동나비엔,,,,NNP,*,T,경동나비엔,*,*,*,*,*
경동도시가스,,,,NNP,*,F,경동도시가스,*,*,*,*,*
경동인베스트,,,,NNP,*,F,경동인베스트,*,*,*,*,*
경방,,,,NNP,*,T,경방,*,*,*,*,*
경보제약,,,,NNP,*,T,경보제약,*,*,*,*,*
경인양행,,,,NNP,*,T,경인양행,*,*,*,*,*
경인전자,,,,NNP,*,F,경인전자,*,*,*,*,*
계룡건설,,,,NNP,*,T,계룡건설,*,*,*,*,*
계양전기,,,,NNP,*,F,계양전기,*,*,*,*,*
계양전기우,,,,NNP,*,F,계양전기우,*,*,*,*,*
고려산업,,,,NNP,*,T,고려산업,*,*,*,*,*
고려아연,,,,NNP,*,T,고려아연,*,*,*,*,*
고려제강,,,,NNP,*,T,고려제강,*,*,*,*,*
광동제약,,,,NNP,*,T,광동제약,*,*,*,*,*
광명전기,,,,NNP,*,F,광명전기,*,*,*,*,*
광전자,,,,NNP,*,F,광전자,*,*,*,*,*
광주신세계,,,,NNP,*,F,광주신세계,*,*,*,*,*
교보증권,,,,NNP,*,T,교보증권,*,*,*,*,*
교촌에프앤비,,,,NNP,*,F,교촌에프앤비,*,*,*,*,*
국도화학,,,,NNP,*,T,국도화학,*,*,*,*,*
국동,,,,NNP,*,T,국동,*,*,*,*,*
국보,,,,NNP,*,F,국보,*,*,*,*,*
국제약품,,,,NNP,*,T,국제약품,*,*,*,*,*
그린케미칼,,,,NNP,*,T,그린케미칼,*,*,*,*,*
극동유화,,,,NNP,*,F,극동유화,*,*,*,*,*
금강공업,,,,NNP,*,T,금강공업,*,*,*,*,*
금강공업우,,,,NNP,*,F,금강공업우,*,*,*,*,*
금비,,,,NNP,*,F,금비,*,*,*,*,*
금양,,,,NNP,*,T,금양,*,*,*,*,*
금호건설,,,,NNP,*,T,금호건설,*,*,*,*,*
금호건설우,,,,NNP,*,F,금호건설우,*,*,*,*,*
금호석유,,,,NNP,*,F,금호석유,*,*,*,*,*
금호석유우,,,,NNP,*,F,금호석유우,*,*,*,*,*
금호에이치티,,,,NNP,*,F,금호에이치티,*,*,*,*,*
금호전기,,,,NNP,*,F,금호전기,*,*,*,*,*
금호타이어,,,,NNP,*,F,금호타이어,*,*,*,*,*
기신정기,,,,NNP,*,F,기신정기,*,*,*,*,*
기아,,,,NNP,*,F,기아,*,*,*,*,*
기업은행,,,,NNP,*,T,기업은행,*,*,*,*,*
까뮤이앤씨,,,,NNP,*,F,까뮤이앤씨,*,*,*,*,*
깨끗한나라,,,,NNP,*,F,깨끗한나라,*,*,*,*,*
깨끗한나라우,,,,NNP,*,F,깨끗한나라우,*,*,*,*,*
남광토건,,,,NNP,*,T,남광토건,*,*,*,*,*
남선알미늄,,,,NNP,*,T,남선알미늄,*,*,*,*,*
남선알미우,,,,NNP,*,F,남선알미우,*,*,*,*,*
남성,,,,NNP,*,T,남성,*,*,*,*,*
남양유업,,,,NNP,*,T,남양유업,*,*,*,*,*
남양유업우,,,,NNP,*,F,남양유업우,*,*,*,*,*
남해화학,,,,NNP,*,T,남해화학,*,*,*,*,*
넥센,,,,NNP,*,T,넥센,*,*,*,*,*
넥센우,,,,NNP,*,F,넥센우,*,*,*,*,*
넥센타이어,,,,NNP,*,F,넥센타이어,*,*,*,*,*
넥센타이어1우B,,,,NNP,*,F,넥센타이어1우B,*,*,*,*,*
넥스트사이언스,,,,NNP,*,F,넥스트사이언스,*,*,*,*,*
넷마블,,,,NNP,*,T,넷마블,*,*,*,*,*
노루페인트,,,,NNP,*,F,노루페인트,*,*,*,*,*
노루페인트우,,,,NNP,*,F,노루페인트우,*,*,*,*,*
노루홀딩스,,,,NNP,*,F,노루홀딩스,*,*,*,*,*
노루홀딩스우,,,,NNP,*,F,노루홀딩스우,*,*,*,*,*
녹십자,,,,NNP,*,F,녹십자,*,*,*,*,*
녹십자홀딩스,,,,NNP,*,F,녹십자홀딩스,*,*,*,*,*
녹십자홀딩스2우,,,,NNP,*,F,녹십자홀딩스2우,*,*,*,*,*
농심,,,,NNP,*,T,농심,*,*,*,*,*
농심홀딩스,,,,NNP,*,F,농심홀딩스,*,*,*,*,*
다스코,,,,NNP,*,F,다스코,*,*,*,*,*
다우기술,,,,NNP,*,T,다우기술,*,*,*,*,*
다이나믹디자인,,,,NNP,*,T,다이나믹디자인,*,*,*,*,*
대교,,,,NNP,*,F,대교,*,*,*,*,*
대교우B,,,,NNP,*,F,대교우B,*,*,*,*,*
대구백화점,,,,NNP,*,T,대구백화점,*,*,*,*,*
대덕,,,,NNP,*,T,대덕,*,*,*,*,*
대덕1우,,,,NNP,*,F,대덕1우,*,*,*,*,*
대덕전자,,,,NNP,*,F,대덕전자,*,*,*,*,*
대덕전자1우,,,,NNP,*,F,대덕전자1우,*,*,*,*,*
대동,,,,NNP,*,T,대동,*,*,*,*,*
대동전자,,,,NNP,*,F,대동전자,*,*,*,*,*
대림B&Co,,,,NNP,*,F,대림B&Co,*,*,*,*,*
대림통상,,,,NNP,*,T,대림통상,*,*,*,*,*
대상,,,,NNP,*,T,대상,*,*,*,*,*
대상우,,,,NNP,*,F,대상우,*,*,*,*,*
대상홀딩스,,,,NNP,*,F,대상홀딩스,*,*,*,*,*
대상홀딩스우,,,,NNP,*,F,대상홀딩스우,*,*,*,*,*
대성산업,,,,NNP,*,T,대성산업,*,*,*,*,*
대성에너지,,,,NNP,*,F,대성에너지,*,*,*,*,*
대성홀딩스,,,,NNP,*,F,대성홀딩스,*,*,*,*,*
대신증권,,,,NNP,*,T,대신증권,*,*,*,*,*
대신증권2우B,,,,NNP,*,F,대신증권2우B,*,*,*,*,*
대신증권우,,,,NNP,*,F,대신증권우,*,*,*,*,*
대양금속,,,,NNP,*,T,대양금속,*,*,*,*,*
대영포장,,,,NNP,*,T,대영포장,*,*,*,*,*
대우건설,,,,NNP,*,T,대우건설,*,*,*,*,*
대우부품,,,,NNP,*,T,대우부품,*,*,*,*,*
대우조선해양,,,,NNP,*,T,대우조선해양,*,*,*,*,*
대웅,,,,NNP,*,T,대웅,*,*,*,*,*
대웅제약,,,,NNP,*,T,대웅제약,*,*,*,*,*
대원강업,,,,NNP,*,T,대원강업,*,*,*,*,*
대원전선,,,,NNP,*,T,대원전선,*,*,*,*,*
대원전선우,,,,NNP,*,F,대원전선우,*,*,*,*,*
대원제약,,,,NNP,*,T,대원제약,*,*,*,*,*
대원화성,,,,NNP,*,T,대원화성,*,*,*,*,*
대유에이텍,,,,NNP,*,T,대유에이텍,*,*,*,*,*
대유플러스,,,,NNP,*,F,대유플러스,*,*,*,*,*
대창,,,,NNP,*,T,대창,*,*,*,*,*
대창단조,,,,NNP,*,F,대창단조,*,*,*,*,*
대한방직,,,,NNP,*,T,대한방직,*,*,*,*,*
