종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"090355","노루페인트우","KOSPI","화학","22000","700","3.29","10188772000"
"000320","노루홀딩스","KOSPI","기타금융","11550","100","0.87","153512794050"
"000325","노루홀딩스우","KOSPI","기타금융","55000","-1000","-1.79","10188750000"
"006280","녹십자","KOSPI","의약품","196500","-500","-0.25","2296404717000"
"005250","녹십자홀딩스","KOSPI","서비스업","23700","-150","-0.63","1114568577000"
"005257","녹십자홀딩스2우","KOSPI","서비스업","49400","700","1.44","41791906000"
"004370","농심","KOSPI","음식료품","327000","2000","0.62","1989023934000"
"072710","농심홀딩스","KOSPI","기타금융","74400","400","0.54","345051576000"
"058730","다스코","KOSPI","기계","4810","75","1.58","81176258410"
"023590","다우기술","KOSPI","서비스업","21050","350","1.69","944442287850"
"145210","다이나믹디자인","KOSPI","기계","352","-1","-0.28","55717814592"
"019680","대교","KOSPI","서비스업","3595","5","0.14","304506745750"
"019685","대교우B","KOSPI","서비스업","2575","-20","-0.77","50024499250"
"006370","대구백화점","KOSPI","유통업","9610","-370","-3.71","103995681710"
"008060","대덕","KOSPI","기타금융","7200","100","1.41","244009080000"
"00806K","대덕1우","KOSPI","기타금융","10250","150","1.49","12426659250"
"353200","대덕전자","KOSPI","전기전자","23400","1250","5.64","1156356045000"
"35320K","대덕전자1우","KOSPI","전기전자","13450","250","1.89","28184730550"
"000490","대동","KOSPI","기계","11600","500","4.50","275247236000"
"008110","대동전자","KOSPI","전기전자","11300","200","1.80","118542051100"
"005750","대림B&Co","KOSPI","비금속광물","6890","10","0.15","114871733600"
"006570","대림통상","KOSPI","기계","3710","15","0.41","56484750000"
"001680","대상","KOSPI","음식료품","23250","0","0.00","805566581250"
"001685","대상우","KOSPI","음식료품","16900","50","0.30","23156768700"
"084690","대상홀딩스","KOSPI","기타금융","9130","270","3.05","330620471940"
"084695","대상홀딩스우","KOSPI","기타금융","11450","450","4.09","10459368900"
"128820","대성산업","KOSPI","유통업","4655","85","1.86","210571150090"
"117580","대성에너지","KOSPI","전기가스업","13750","1200","9.56","378125000000"
"016710","대성홀딩스","KOSPI","서비스업","49750","100","0.20","800450585250"
"003540","대신증권","KOSPI","증권","16450","50","0.30","835222430000"
"003547","대신증권2우B","KOSPI","증권","14450","50","0.35","144500000000"
"003545","대신증권우","KOSPI","증권","14900","50","0.34","387400000000"
"009190","대양금속","KOSPI","철강금속","4160","-20","-0.48","133819562240"
"014160","대영포장","KOSPI","종이목재","2325","10","0.43","252017326425"
"047040","대우건설","KOSPI","건설업","6090","400","7.03","2531141865420"
"009320","대우부품","KOSPI","운수장비","2120","10","0.47","101010315000"
"042660","대우조선해양","KOSPI","운수장비","27000","4850","21.90","2896848063000"
"003090","대웅","KOSPI","기타금융","29550","200","0.68","1718095509000"
"069620","대웅제약","KOSPI","의약품","165500","500","0.30","1917578162500"
"000430","대원강업","KOSPI","운수장비","3125","20","0.64","193750000000"
"006340","대원전선","KOSPI","전기전자","2095","25","1.21","148780545865"
"006345","대원전선우","KOSPI","전기전자","3240","-30","-0.92","8492688000"
"003220","대원제약","KOSPI","의약품","19600","-500","-2.49","416006530800"
"024890","대원화성","KOSPI","화학","3340","15","0.45","137772167680"
"002880","대유에이텍","KOSPI","운수장비","1155","15","1.32","132933701670"
"000300","대유플러스","KOSPI","전기전자","1315","-10","-0.75","159113387810"
"012800","대창","KOSPI","철강금속","1975","60","3.13","180002485525"
"015230","대창단조","KOSPI","운수장비","4190","0","0.00","119717643700"
